Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Vietnam,Sweet potatoes,2010,178667,1821,85.04,25.5
Thailand,Plantains,1992,84684,1622,138.45,28.0
Australia,Rice,1998,47421,534,116.84,21.65
Indonesia,Soybeans,1995,28558,2702,128.42,26.5
Spain,Wheat,2002,33374,636,106.61,14.0
Mexico,Cassava,1993,153071,758,141.09,21.0
Albania,Plantains,1999,81000,1485,123.11,16.37
Belgium,Wheat,2002,33226,847,116.16,10.5
Mexico,Wheat,2012,42267,758,81.01,21.0
India,Rice,2010,60790,1083,87.07,25.0
USA,Soybeans,1996,32100,715,125.65,8.5
Pakistan,Sweet potatoes,2003,131925,494,101.82,19.0
Canada,Sweet potatoes,1996,137187,537,127.63,-5.35
Thailand,Sorghum,1996,16341,1622,127.7,28.0
India,Yams,2006,151459,1083,95.27,25.0
Italy,Cassava,1996,124258,832,130.07,13.5
Belgium,Maize,1995,47953,847,138.77,10.5
Brazil,Plantains,2003,95115,1761,102.34,25.0
Mexico,Rice,1999,50393,758,131.08,21.0
Mexico,Soybeans,2010,31682,758,88.94,21.0
India,Yams,1995,110804,1083,140.91,25.0
Canada,Soybeans,2006,25991,537,100.14,-5.35
Netherlands,Plantains,1995,80151,850,127.35,9.5
Mexico,Maize,1998,52430,758,134.88,21.0
Mexico,Maize,1997,61926,758,122.22,21.0
Mexico,Sweet potatoes,1995,153612,758,125.69,21.0
Vietnam,Yams,1993,128154,1821,145.8,25.5
Mexico,Sorghum,2007,20221,758,95.4,21.0
Australia,Wheat,1993,33925,534,144.67,21.65
Italy,Sweet potatoes,1998,147557,832,134.47,13.5
Vietnam,Sweet potatoes,1994,167061,1821,143.62,25.5
Albania,Wheat,1996,30904,1485,139.02,16.37
Pakistan,Potatoes,2002,156886,494,106.56,19.0
Italy,Rice,1997,45797,832,123.22,13.5
Turkey,Wheat,2001,37628,574,122.61,11.1
Mexico,Sweet potatoes,1993,161921,758,144.54,21.0
India,Sorghum,2008,19330,1083,102.0,25.0
Austria,Soybeans,2001,34260,1110,108.75,6.35
Brazil,Plantains,1997,85918,1761,125.67,25.0
Bangladesh,Potatoes,1990,152398,2666,146.69,25.5
Japan,Cassava,2007,154075,1668,92.68,12.0
Egypt,Plantains,2000,73099,51,115.92,22.5
France,Potatoes,1994,198534,867,135.66,12.5
Indonesia,Maize,1993,52740,2702,131.81,26.5
Germany,Potatoes,2009,230499,700,89.86,8.5
Argentina,Wheat,1992,34068,590,145.49,16.0
France,Sweet potatoes,2011,195707,867,79.77,12.5
Argentina,Soybeans,1999,28849,590,119.47,16.0
Austria,Sorghum,2012,19652,1110,75.93,6.35
United Kingdom,Maize,1997,61221,1220,138.65,9.5
Japan,Sorghum,2003,17130,1668,101.96,12.0
Thailand,Wheat,2004,40220,1622,115.04,28.0
Indonesia,Yams,2003,150763,2702,106.41,26.5
Japan,Plantains,2003,86180,1668,102.78,12.0
Spain,Potatoes,1992,178136,636,134.32,14.0
China,Plantains,1994,77402,645,135.17,8.5
Canada,Cassava,2000,115506,537,110.5,-5.35
Austria,Sorghum,1991,14787,1110,150.9,6.35
Egypt,Sweet potatoes,1997,122545,51,138.74,22.5
India,Potatoes,2000,227495,1083,119.0,25.0
Albania,Sorghum,2012,18404,1485,84.59,16.37
Spain,Cassava,1991,107732,636,150.47,14.0
Netherlands,Cassava,2002,125154,850,104.45,9.5
Italy,Maize,2001,51390,832,118.92,13.5
France,Plantains,2009,95911,867,83.71,12.5
United Kingdom,Cassava,2011,139007,1220,93.46,9.5
Indonesia,Cassava,1993,133630,2702,134.29,26.5
Japan,Soybeans,2002,29812,1668,116.31,12.0
Thailand,Rice,2004,56262,1622,106.79,28.0
India,Plantains,2011,82837,1083,94.92,25.0
Italy,Potatoes,1998,182472,832,119.48,13.5
Canada,Sweet potatoes,2007,158150,537,92.01,-5.35
USA,Rice,1994,53815,715,145.99,8.5
Canada,Sweet potatoes,1999,118339,537,132.8,-5.35
India,Maize,1995,53525,1083,130.64,25.0
France,Sorghum,2001,16713,867,107.5,12.5
France,Sweet potatoes,1998,128677,867,130.51,12.5
Austria,Yams,2004,108191,1110,109.08,6.35
Italy,Sweet potatoes,2010,190962,832,88.21,13.5
Bangladesh,Cassava,2006,133788,2666,107.89,25.5
Germany,Plantains,1995,76121,700,129.1,8.5
France,Potatoes,2010,224628,867,87.64,12.5
Argentina,Sweet potatoes,2001,157459,590,118.61,16.0
Austria,Plantains,2000,68935,1110,128.86,6.35
Belgium,Rice,1996,54834,847,138.94,10.5
Argentina,Yams,2011,133234,590,85.38,16.0
China,Soybeans,2009,35178,645,89.49,8.5
Belgium,Maize,1992,53134,847,147.54,10.5
Germany,Yams,2000,105652,700,123.94,8.5
Egypt,Maize,2003,59600,51,111.18,22.5
China,Rice,1992,51883,645,149.15,8.5
Italy,Yams,2004,134948,832,113.97,13.5
Pakistan,Sweet potatoes,2000,132341,494,115.43,19.0
China,Yams,2005,131967,645,110.1,8.5
Netherlands,Sorghum,2005,16052,850,97.42,9.5
United Kingdom,Soybeans,2010,38824,1220,83.25,9.5
China,Sorghum,1995,15844,645,134.85,8.5
Pakistan,Plantains,1991,50141,494,146.62,19.0
Egypt,Wheat,1993,23881,51,136.14,22.5
Italy,Sweet potatoes,1996,160564,832,125.92,13.5
Belgium,Rice,1990,49935,847,151.55,10.5
France,Potatoes,1998,193705,867,133.56,12.5
India,Sorghum,1990,16878,1083,148.89,25.0
Bangladesh,Potatoes,1998,173933,2666,118.67,25.5
France,Potatoes,1996,161460,867,123.24,12.5
USA,Soybeans,2004,31851,715,111.48,8.5
Netherlands,Cassava,2008,157551,850,93.1,9.5
Mexico,Yams,2011,153785,758,93.25,21.0
USA,Cassava,1997,128687,715,130.66,8.5
Belgium,Soybeans,2012,37288,847,93.32,10.5
Canada,Sweet potatoes,2005,118808,537,96.24,-5.35
France,Sweet potatoes,2005,135874,867,97.79,12.5
Germany,Rice,1991,51304,700,138.8,8.5
China,Yams,1990,104288,645,143.03,8.5
Bangladesh,Soybeans,1999,26328,2666,116.24,25.5
Egypt,Sweet potatoes,2012,173827,51,75.3,22.5
Spain,Cassava,1993,111917,636,149.9,14.0
Germany,Yams,1995,126756,700,135.04,8.5
Albania,Sorghum,1995,14877,1485,144.71,16.37
Italy,Maize,2008,72595,832,88.71,13.5
United Kingdom,Maize,2010,65020,1220,89.67,9.5
Belgium,Soybeans,2008,31907,847,95.88,10.5
Vietnam,Sweet potatoes,2013,216076,1821,90.48,25.5
Austria,Cassava,1998,133647,1110,124.32,6.35
Pakistan,Maize,2000,49460,494,129.93,19.0
Egypt,Sorghum,2000,15015,51,128.95,22.5
Italy,Sorghum,2003,17015,832,102.57,13.5
Mexico,Potatoes,1997,195224,758,129.06,21.0
Germany,Cassava,2006,167756,700,98.36,8.5
Egypt,Soybeans,2010,27206,51,94.74,22.5
Germany,Yams,2009,119910,700,86.85,8.5
Mexico,Sweet potatoes,1992,148183,758,152.87,21.0
Argentina,Wheat,2005,41599,590,97.34,16.0
Canada,Yams,2002,115537,537,111.18,-5.35
Turkey,Soybeans,2003,32207,574,112.49,11.1
Vietnam,Wheat,2012,42313,1821,74.04,25.5
Vietnam,Plantains,1998,84756,1821,121.03,25.5
Pakistan,Sweet potatoes,2009,129535,494,99.03,19.0
Brazil,Cassava,2010,177290,1761,88.78,25.0
Bangladesh,Cassava,2004,137410,2666,115.85,25.5
Netherlands,Sorghum,1995,17384,850,128.37,9.5
Mexico,Wheat,2000,38366,758,113.88,21.0
Egypt,Sorghum,1993,12322,51,137.73,22.5
Italy,Sorghum,1996,17166,832,141.69,13.5
China,Sorghum,1992,17168,645,140.75,8.5
Egypt,Sweet potatoes,2007,124432,51,102.49,22.5
Vietnam,Cassava,2012,164429,1821,78.75,25.5
France,Yams,1990,105280,867,153.51,12.5
Belgium,Wheat,2012,34146,847,80.75,10.5
Argentina,Sorghum,1998,15903,590,116.4,16.0
Brazil,Sweet potatoes,2001,169437,1761,119.33,25.0
Netherlands,Soybeans,2007,30766,850,91.01,9.5
China,Wheat,2010,39298,645,85.87,8.5
France,Rice,2001,48346,867,126.85,12.5
Brazil,Yams,2007,132004,1761,94.42,25.0
Argentina,Maize,2010,62677,590,91.88,16.0
Thailand,Maize,2001,65109,1622,116.45,28.0
China,Soybeans,2013,32098,645,86.37,8.5
USA,Yams,1999,104959,715,121.04,8.5
Austria,Sweet potatoes,2003,145867,1110,108.07,6.35
Netherlands,Cassava,1990,131069,850,151.99,9.5
China,Soybeans,2000,30404,645,126.47,8.5
Spain,Cassava,2000,117931,636,115.9,14.0
Canada,Yams,2011,110437,537,86.18,-5.35
Canada,Cassava,1994,108463,537,134.81,-5.35
Brazil,Wheat,2003,41404,1761,118.91,25.0
Turkey,Sorghum,2013,19634,574,77.86,11.1
USA,Sweet potatoes,2011,156320,715,96.12,8.5
Vietnam,Yams,1994,129000,1821,138.68,25.5
USA,Sorghum,2012,19060,715,77.29,8.5
Spain,Wheat,1998,34312,636,131.51,14.0
USA,Rice,2009,54827,715,98.42,8.5
Albania,Yams,1998,102905,1485,123.53,16.37
Austria,Maize,1993,57549,1110,144.85,6.35
Thailand,Soybeans,1992,31671,1622,137.65,28.0
Bangladesh,Sweet potatoes,2003,140212,2666,110.45,25.5
India,Wheat,1992,29242,1083,144.57,25.0
Austria,Wheat,1996,29230,1110,129.97,6.35
Spain,Plantains,2007,70844,636,95.89,14.0
Vietnam,Maize,1992,58558,1821,134.64,25.5
Germany,Cassava,1997,125933,700,130.42,8.5
Italy,Rice,1990,38366,832,142.88,13.5
Albania,Soybeans,2011,36471,1485,80.9,16.37
Australia,Cassava,2011,154454,534,84.94,21.65
Albania,Maize,1993,57989,1485,132.16,16.37
Spain,Sorghum,2008,19361,636,102.43,14.0
Argentina,Yams,2001,113969,590,110.43,16.0
Albania,Maize,1995,61327,1485,125.41,16.37
Austria,Plantains,1997,65891,1110,137.56,6.35
Germany,Plantains,1993,72016,700,137.64,8.5
Turkey,Maize,1994,48448,574,142.37,11.1
Bangladesh,Soybeans,1997,27014,2666,131.69,25.5
Germany,Sweet potatoes,2012,189994,700,81.76,8.5
Argentina,Maize,1992,57697,590,145.69,16.0
Vietnam,Sweet potatoes,1995,169343,1821,131.47,25.5
Bangladesh,Plantains,1998,80960,2666,134.15,25.5
India,Yams,2004,142668,1083,115.82,25.0
Netherlands,Wheat,2005,31660,850,111.36,9.5
France,Yams,2011,130635,867,82.96,12.5
Mexico,Cassava,2003,173645,758,109.91,21.0
Mexico,Rice,2003,51795,758,103.42,21.0
Germany,Cassava,2009,142623,700,93.93,8.5
Brazil,Cassava,2011,182622,1761,80.21,25.0
Egypt,Potatoes,1991,149276,51,142.52,22.5
France,Cassava,2010,140502,867,97.46,12.5
India,Rice,2011,61591,1083,86.82,25.0
Vietnam,Yams,1999,141270,1821,127.97,25.5
Belgium,Soybeans,2006,36728,847,99.55,10.5
Mexico,Sorghum,2006,17413,758,108.13,21.0
Netherlands,Plantains,2010,88317,850,90.27,9.5
Indonesia,Rice,2002,60873,2702,109.04,26.5
France,Plantains,2000,63542,867,114.39,12.5
China,Rice,1997,54721,645,119.47,8.5
Mexico,Cassava,2000,135962,758,117.67,21.0
Canada,Sorghum,1999,12738,537,118.37,-5.35
India,Soybeans,1993,28130,1083,146.32,25.0
Indonesia,Rice,2009,71112,2702,101.81,26.5
Germany,Sorghum,1990,16984,700,155.88,8.5
Pakistan,Cassava,2013,139665,494,84.54,19.0
USA,Cassava,2004,133431,715,112.51,8.5
Brazil,Rice,1995,53289,1761,126.03,25.0
Spain,Wheat,1996,32230,636,129.01,14.0
China,Yams,2012,120390,645,88.44,8.5
Bangladesh,Plantains,2007,83173,2666,91.42,25.5
Thailand,Wheat,2005,35836,1622,99.58,28.0
Albania,Yams,2006,125312,1485,111.24,16.37
Albania,Rice,2008,54365,1485,88.4,16.37
Brazil,Cassava,2009,182257,1761,100.18,25.0
Japan,Cassava,2009,156980,1668,96.94,12.0
Mexico,Yams,2010,135573,758,90.1,21.0
USA,Sorghum,1990,12951,715,156.21,8.5
Albania,Wheat,1995,31138,1485,130.89,16.37
Belgium,Soybeans,1990,26157,847,151.05,10.5
China,Rice,1998,44888,645,135.49,8.5
Thailand,Wheat,2006,37917,1622,99.27,28.0
Thailand,Sorghum,2011,24091,1622,94.54,28.0
China,Cassava,2001,118831,645,109.36,8.5
USA,Maize,2010,67689,715,98.18,8.5
Italy,Plantains,2004,86588,832,99.09,13.5
Vietnam,Cassava,2002,157879,1821,116.93,25.5
Japan,Yams,1999,109084,1668,128.8,12.0
Egypt,Rice,2000,47228,51,122.27,22.5
India,Cassava,2003,156692,1083,108.2,25.0
Austria,Plantains,1996,67412,1110,124.56,6.35
Brazil,Plantains,2004,87598,1761,105.79,25.0
Vietnam,Sorghum,2000,21633,1821,115.33,25.5
Vietnam,Sorghum,2004,19383,1821,98.81,25.5
United Kingdom,Sweet potatoes,2000,161013,1220,124.84,9.5
USA,Rice,2003,57064,715,114.97,8.5
Argentina,Wheat,1994,28591,590,132.03,16.0
Japan,Cassava,2013,171413,1668,72.56,12.0
China,Plantains,2003,67469,645,108.56,8.5
Spain,Potatoes,2009,224405,636,87.32,14.0
USA,Maize,1999,58747,715,122.63,8.5
Australia,Potatoes,2011,248039,534,94.49,21.65
United Kingdom,Maize,2011,58494,1220,83.43,9.5
Albania,Rice,1997,44671,1485,124.8,16.37
Australia,Cassava,2004,183038,534,102.84,21.65
Argentina,Rice,2004,53809,590,100.41,16.0
India,Wheat,1996,39153,1083,135.83,25.0
Belgium,Sorghum,1994,18035,847,144.16,10.5
USA,Cassava,2006,131144,715,95.42,8.5
China,Wheat,2005,36753,645,106.28,8.5
Vietnam,Soybeans,1999,27662,1821,123.45,25.5
Turkey,Soybeans,2006,34128,574,92.26,11.1
Netherlands,Potatoes,2010,243705,850,98.97,9.5
Spain,Rice,2005,47153,636,103.83,14.0
India,Yams,2012,150395,1083,86.61,25.0
Spain,Wheat,1992,28205,636,143.09,14.0
France,Wheat,1996,35231,867,126.78,12.5
France,Soybeans,1995,28762,867,142.81,12.5
France,Wheat,2006,35104,867,102.09,12.5
Canada,Sorghum,1991,12805,537,156.47,-5.35
China,Rice,1990,40413,645,148.34,8.5
Vietnam,Cassava,2008,150194,1821,105.46,25.5
Italy,Yams,2011,152288,832,84.57,13.5
France,Yams,2007,147797,867,106.52,12.5
Australia,Potatoes,2009,206009,534,87.66,21.65
Pakistan,Rice,2002,37676,494,104.76,19.0
Indonesia,Sweet potatoes,2013,184367,2702,89.84,26.5
USA,Wheat,2009,33028,715,92.77,8.5
Thailand,Plantains,2007,91598,1622,98.16,28.0
Japan,Maize,1992,53148,1668,149.14,12.0
Spain,Sorghum,1994,16401,636,128.58,14.0
China,Rice,1991,44553,645,140.42,8.5
Australia,Sweet potatoes,2013,205442,534,88.37,21.65
Spain,Soybeans,2002,28165,636,107.42,14.0
Australia,Sweet potatoes,2008,208651,534,90.57,21.65
Indonesia,Maize,2002,54091,2702,104.67,26.5
Canada,Plantains,2005,76443,537,108.17,-5.35
Japan,Cassava,1992,105397,1668,152.52,12.0
Argentina,Potatoes,2006,192647,590,106.08,16.0
Canada,Potatoes,2005,199801,537,113.56,-5.35
Italy,Rice,2009,53415,832,92.28,13.5
Turkey,Wheat,2005,39803,574,109.65,11.1
Austria,Sweet potatoes,2001,129282,1110,108.43,6.35
Egypt,Rice,1996,42106,51,128.86,22.5
Austria,Potatoes,2006,238273,1110,93.21,6.35
Canada,Yams,2000,106146,537,114.53,-5.35
Pakistan,Plantains,2000,62683,494,123.66,19.0
Netherlands,Yams,1997,105588,850,129.29,9.5
Spain,Rice,2000,50545,636,120.19,14.0
Netherlands,Yams,1992,112150,850,140.53,9.5
Spain,Yams,1994,118450,636,136.37,14.0
Germany,Plantains,1991,63271,700,150.53,8.5
Spain,Sorghum,2002,17511,636,121.28,14.0
Italy,Cassava,1997,135494,832,128.84,13.5
Mexico,Yams,1993,123629,758,137.29,21.0
India,Plantains,1990,77537,1083,152.37,25.0
Mexico,Soybeans,2006,38265,758,103.33,21.0
Albania,Wheat,2007,37667,1485,99.23,16.37
United Kingdom,Sorghum,2010,21070,1220,90.85,9.5
France,Maize,2010,67035,867,81.19,12.5
China,Plantains,2006,79433,645,111.95,8.5
Japan,Rice,1999,58252,1668,131.42,12.0
United Kingdom,Rice,1996,49857,1220,129.05,9.5
USA,Sorghum,1995,15332,715,139.39,8.5
Vietnam,Sorghum,1993,16366,1821,141.25,25.5
Vietnam,Sweet potatoes,2005,184481,1821,102.89,25.5
Spain,Sweet potatoes,2003,151920,636,104.14,14.0
Turkey,Potatoes,1990,154090,574,144.46,11.1
Belgium,Wheat,2001,36814,847,111.31,10.5
China,Soybeans,1991,30256,645,140.12,8.5
Turkey,Yams,1996,102028,574,128.59,11.1
Germany,Sorghum,2000,15780,700,119.65,8.5
Belgium,Cassava,2004,165855,847,110.93,10.5
Belgium,Wheat,1999,35657,847,117.24,10.5
Egypt,Cassava,1994,102586,51,139.39,22.5
China,Yams,2004,143804,645,99.61,8.5
Turkey,Plantains,2008,91283,574,104.45,11.1
China,Plantains,2000,84498,645,118.25,8.5
USA,Soybeans,2007,36192,715,104.05,8.5
Pakistan,Wheat,2011,31261,494,79.58,19.0
Belgium,Rice,1994,42108,847,132.01,10.5
Japan,Cassava,2004,125725,1668,105.33,12.0
Mexico,Maize,2004,64711,758,117.86,21.0
India,Sweet potatoes,1996,136761,1083,132.93,25.0
USA,Cassava,2005,156491,715,95.02,8.5
Canada,Sweet potatoes,1990,116064,537,159.23,-5.35
United Kingdom,Rice,2000,48208,1220,114.3,9.5
Italy,Cassava,2003,123402,832,107.14,13.5
Argentina,Cassava,1994,135681,590,132.59,16.0
Albania,Yams,2009,153944,1485,83.24,16.37
Bangladesh,Soybeans,2011,32940,2666,79.01,25.5
China,Rice,2006,54087,645,103.77,8.5
Turkey,Potatoes,2009,199755,574,91.08,11.1
Pakistan,Wheat,1992,22945,494,152.81,19.0
Austria,Rice,1992,40883,1110,148.18,6.35
France,Maize,1995,47818,867,130.61,12.5
Turkey,Plantains,2011,85603,574,82.07,11.1
Australia,Plantains,1991,69764,534,143.92,21.65
Argentina,Maize,1999,65027,590,132.49,16.0
Brazil,Wheat,2004,39383,1761,113.75,25.0
Mexico,Rice,2001,65764,758,110.19,21.0
China,Cassava,2007,145177,645,99.98,8.5
Canada,Wheat,2013,33577,537,80.75,-5.35
Indonesia,Potatoes,1996,215422,2702,127.45,26.5
Indonesia,Yams,1992,120682,2702,146.2,26.5
Turkey,Yams,1998,121556,574,120.52,11.1
Australia,Yams,2010,157666,534,89.78,21.65
Thailand,Rice,2006,56653,1622,107.97,28.0
Indonesia,Sorghum,1997,19613,2702,128.76,26.5
China,Wheat,1998,29382,645,116.27,8.5
Spain,Soybeans,1992,27027,636,139.64,14.0
United Kingdom,Maize,1999,51480,1220,127.45,9.5
India,Sorghum,2002,17283,1083,114.9,25.0
Thailand,Wheat,2010,42531,1622,97.09,28.0
Brazil,Maize,2010,76060,1761,86.51,25.0
Brazil,Yams,2002,146868,1761,122.16,25.0
India,Soybeans,2010,39495,1083,97.35,25.0
China,Sorghum,1998,18339,645,127.44,8.5
USA,Maize,2001,58450,715,126.23,8.5
USA,Rice,1995,54039,715,133.05,8.5
Argentina,Cassava,2010,137899,590,89.02,16.0
Argentina,Cassava,1990,131565,590,146.84,16.0
Thailand,Soybeans,1999,34392,1622,122.45,28.0
China,Yams,2006,113802,645,108.57,8.5
Brazil,Plantains,1991,73893,1761,146.49,25.0
Thailand,Plantains,2012,100184,1622,91.4,28.0
USA,Yams,1998,129056,715,125.92,8.5
Pakistan,Sorghum,2003,15191,494,107.06,19.0
Spain,Sorghum,1996,17560,636,139.34,14.0
United Kingdom,Cassava,1994,134061,1220,142.36,9.5
Albania,Yams,1997,124844,1485,138.72,16.37
France,Potatoes,1999,166826,867,132.2,12.5
Japan,Maize,2006,62919,1668,93.31,12.0
Turkey,Cassava,1995,121777,574,132.79,11.1
Canada,Cassava,1990,117286,537,151.94,-5.35
Thailand,Yams,2003,156780,1622,108.96,28.0
Vietnam,Sorghum,2002,16665,1821,123.68,25.5
United Kingdom,Sweet potatoes,1994,127609,1220,133.79,9.5
Austria,Sorghum,1995,16504,1110,139.49,6.35
India,Yams,2005,162355,1083,111.65,25.0
Albania,Maize,1999,53195,1485,121.64,16.37
China,Potatoes,1990,165063,645,152.6,8.5
Canada,Cassava,2004,118967,537,101.47,-5.35
United Kingdom,Maize,1994,56771,1220,132.11,9.5
Argentina,Maize,2005,59747,590,107.27,16.0
Turkey,Cassava,2011,162367,574,79.33,11.1
Thailand,Wheat,1992,29794,1622,153.73,28.0
Brazil,Wheat,2011,43429,1761,83.02,25.0
Italy,Sorghum,1994,15513,832,142.21,13.5
Austria,Plantains,2002,80055,1110,121.74,6.35
Indonesia,Potatoes,1993,175314,2702,140.41,26.5
Germany,Soybeans,2002,29042,700,104.83,8.5
United Kingdom,Yams,1998,134718,1220,131.14,9.5
Netherlands,Sweet potatoes,1997,139725,850,137.91,9.5
United Kingdom,Potatoes,2001,209818,1220,116.11,9.5
Spain,Rice,1998,51744,636,117.39,14.0
United Kingdom,Cassava,2010,174413,1220,96.7,9.5
India,Wheat,2009,44174,1083,88.5,25.0
Australia,Rice,2001,65451,534,111.37,21.65
India,Soybeans,1999,34913,1083,116.13,25.0
Thailand,Soybeans,2005,37208,1622,113.34,28.0
Thailand,Plantains,1994,66259,1622,132.47,28.0
Bangladesh,Sweet potatoes,2007,159274,2666,101.22,25.5
Vietnam,Sorghum,2005,17251,1821,113.7,25.5
Turkey,Cassava,1994,142217,574,129.76,11.1
Australia,Sweet potatoes,2009,192041,534,102.5,21.65
Italy,Wheat,2009,42789,832,85.54,13.5
Argentina,Soybeans,2011,38595,590,83.98,16.0
Vietnam,Maize,2013,81670,1821,80.86,25.5
India,Sweet potatoes,2013,196879,1083,87.26,25.0
India,Wheat,2013,47385,1083,84.93,25.0
Belgium,Cassava,1999,126621,847,115.4,10.5
Vietnam,Sorghum,2009,24016,1821,96.38,25.5
Argentina,Yams,2004,129114,590,103.48,16.0
India,Rice,2005,59608,1083,114.33,25.0
Japan,Plantains,2008,81110,1668,97.45,12.0
Netherlands,Potatoes,2003,226004,850,109.6,9.5
Belgium,Plantains,1994,63929,847,139.39,10.5
Mexico,Yams,1998,119338,758,121.25,21.0
Thailand,Soybeans,1993,31768,1622,137.78,28.0
Vietnam,Yams,1996,135875,1821,130.26,25.5
Mexico,Maize,2006,59738,758,98.09,21.0
Belgium,Rice,1998,50557,847,124.97,10.5
Mexico,Cassava,1998,147544,758,128.08,21.0
Belgium,Rice,1992,50028,847,150.55,10.5
Egypt,Maize,1992,48807,51,145.41,22.5
Spain,Yams,1992,103210,636,144.59,14.0
Japan,Cassava,2010,152267,1668,87.73,12.0
Italy,Rice,1995,44500,832,139.64,13.5
Spain,Sorghum,2013,17446,636,87.6,14.0
Vietnam,Yams,2002,119539,1821,110.61,25.5
United Kingdom,Soybeans,2004,33831,1220,110.73,9.5
Canada,Sweet potatoes,1994,130653,537,146.94,-5.35
Indonesia,Sorghum,2010,19910,2702,88.27,26.5
Egypt,Sorghum,1999,13953,51,123.05,22.5
China,Sweet potatoes,2007,167339,645,91.11,8.5
Albania,Wheat,2003,38027,1485,114.94,16.37
Vietnam,Plantains,1994,67427,1821,144.12,25.5
United Kingdom,Yams,2003,118575,1220,111.54,9.5
Austria,Plantains,2006,79645,1110,107.1,6.35
Austria,Soybeans,1997,31540,1110,121.55,6.35
Thailand,Cassava,2012,168228,1622,90.69,28.0
Brazil,Sorghum,2009,21988,1761,94.98,25.0
Belgium,Maize,2004,67549,847,104.28,10.5
Australia,Potatoes,1990,186406,534,144.99,21.65
Spain,Plantains,2003,75059,636,108.86,14.0
China,Sorghum,1994,13759,645,143.05,8.5
Italy,Plantains,1990,58528,832,155.66,13.5
China,Potatoes,2004,196184,645,112.57,8.5
Belgium,Sweet potatoes,2006,169886,847,102.01,10.5
Austria,Sweet potatoes,1996,142482,1110,123.33,6.35
United Kingdom,Wheat,1994,31835,1220,139.82,9.5
Argentina,Plantains,2013,81341,590,82.81,16.0
Indonesia,Potatoes,2004,216814,2702,116.56,26.5
Netherlands,Soybeans,2003,33065,850,102.72,9.5
Indonesia,Maize,2003,59343,2702,101.98,26.5
United Kingdom,Rice,1991,49909,1220,147.64,9.5
USA,Sweet potatoes,2010,165333,715,89.91,8.5
Spain,Sweet potatoes,2010,188649,636,82.73,14.0
Mexico,Cassava,2008,161758,758,104.65,21.0
Spain,Rice,1996,51934,636,134.23,14.0
Netherlands,Maize,1992,46611,850,152.68,9.5
Australia,Yams,2007,164599,534,89.1,21.65
Spain,Soybeans,2000,32084,636,117.94,14.0
France,Rice,1996,53427,867,125.58,12.5
Thailand,Maize,2011,81248,1622,90.23,28.0
Italy,Potatoes,2009,233918,832,87.23,13.5
Canada,Wheat,2000,26866,537,123.46,-5.35
Mexico,Wheat,1996,35034,758,123.21,21.0
Japan,Maize,2011,69963,1668,92.24,12.0
Canada,Cassava,1993,97139,537,131.61,-5.35
Bangladesh,Plantains,1993,78950,2666,141.15,25.5
Belgium,Wheat,1994,31396,847,136.65,10.5
Spain,Yams,2006,134281,636,92.41,14.0
Australia,Potatoes,1996,191438,534,135.95,21.65
Canada,Maize,1990,39592,537,155.92,-5.35
Australia,Maize,2009,69530,534,102.0,21.65
Thailand,Cassava,2003,148470,1622,119.2,28.0
Canada,Sweet potatoes,1998,128315,537,130.12,-5.35
Belgium,Sweet potatoes,2010,152053,847,80.88,10.5
Netherlands,Soybeans,2013,31061,850,76.59,9.5
France,Yams,2000,132301,867,114.7,12.5
Japan,Soybeans,2010,38555,1668,92.95,12.0
Brazil,Soybeans,1994,33799,1761,142.73,25.0
Belgium,Maize,2007,60669,847,108.22,10.5
India,Potatoes,2007,248411,1083,99.88,25.0
Italy,Soybeans,2007,36861,832,100.34,13.5
Bangladesh,Yams,2005,131630,2666,113.33,25.5
Thailand,Maize,2003,73526,1622,102.5,28.0
Brazil,Soybeans,1996,32858,1761,136.02,25.0
Japan,Sweet potatoes,2003,169662,1668,108.32,12.0
Japan,Plantains,2002,84960,1668,117.71,12.0
Germany,Wheat,2009,37730,700,92.67,8.5
Austria,Yams,2007,126554,1110,108.16,6.35
United Kingdom,Potatoes,2012,249606,1220,81.87,9.5
Turkey,Maize,2000,55983,574,118.67,11.1
Austria,Maize,2002,51003,1110,123.99,6.35
Egypt,Yams,2005,99850,51,105.64,22.5
